extension;numero;type;nom;titre;cout vert;cout jaune;cout rouge;defense;attaque;trait;effet;nom personnage;caracteristique1;caracteristique2;caracteristique3;caracteristique4
Shaman King;DAS033v;chamber;DAS033v.bmp;Dowsing Pendulum;;;;8;6;;Effet 302;lyserg;shadow;mind;fox;
Shaman King;DAS034;chamber;DAS034.bmp;Homing Pendulum;1;;;4;4;;Effet 303;lyserg;shadow;mind;fox;
Shaman King;DAS034v;chamber;DAS034v.bmp;X-terminate;1;;1;10;5;;Effet 301;lyserg;shadow;mind;fox;
Shaman King;DAS035;chamber;DAS035.bmp;Homing Pendulum;1;;;4;4;;Effet 303;lyserg;shadow;mind;fox;
Shaman King;DAS035v;chamber;DAS035v.bmp;Dowsing Pendulum;;;;8;6;;Effet 302;lyserg;shadow;mind;fox;
Shaman King;DAS036;chamber;DAS036.bmp;Homing Pendulum;1;;;4;4;;Effet 303;lyserg;shadow;mind;fox;
Shaman King;DAS036v;chamber;DAS036v.bmp;Big Ben Blitz;;2;;7;7;;Effet 304;lyserg;shadow;mind;fox;
Shaman King;DAS037;chamber;DAS037.bmp;Trick or Treat;;;;5;5;;Effet 305;matti;dark;body;bull;
Shaman King;DAS037v;chamber;DAS037v.bmp;Ultimate Hallow Slash;;;;8;5;;Effet 306;matti;dark;body;bull;
Shaman King;DAS038;chamber;DAS038.bmp;Trick or Treat;;;;5;5;;Effet 305;matti;dark;body;bull;
Shaman King;DAS038v;chamber;DAS038v.bmp;Ultimate Hallow Slash;;;;8;5;;Effet 306;matti;dark;body;bull;
Shaman King;DAS039;chamber;DAS039.bmp;Trick or Treat;;;;5;5;;Effet 305;matti;dark;body;bull;
Shaman King;DAS039v;chamber;DAS039v.bmp;Halloween Rip;;;;7;7;;Effet 305;matti;dark;body;bull;
Shaman King;DAS040;chamber;DAS040.bmp;Slice and Dice;;;;5;5;;Effet 307;matti;dark;body;bull;
Shaman King;DAS040v;chamber;DAS040v.bmp;Ultimate Hallow Slash;;;;8;5;;Effet 306;matti;dark;body;bull;
Shaman King;DAS041;chamber;DAS041.bmp;Slice and Dice;;;;5;5;;Effet 307;matti;dark;body;bull;
Shaman King;DAS041v;chamber;DAS041v.bmp;Halloween Rip;;;;7;7;;Effet 305;matti;dark;body;bull;
Shaman King;DAS042;chamber;DAS042.bmp;Slice and Dice;;;;5;5;;Effet 307;matti;dark;body;bull;
Shaman King;DAS042v;chamber;DAS042v.bmp;Pumpkin Dumpkin;;;;6;6;;Effet 308;matti;dark;body;bull;
Shaman King;DAS043;chamber;DAS043.bmp;Scimitar of Snow;;;;5;5;;Effet 309;trey;light;spirit;fox;
Shaman King;DAS043v;chamber;DAS043v.bmp;Ice Dagger Attack;;2;;12;0;;Effet 66;trey;light;spirit;fox;
Shaman King;DAS044;chamber;DAS044.bmp;Scimitar of Snow;;;;5;5;;Effet 309;trey;light;spirit;fox;
Shaman King;DAS044v;chamber;DAS044v.bmp;Ice Dagger Attack;;2;;12;0;;Effet 66;trey;light;spirit;fox;
Shaman King;DAS045;chamber;DAS045.bmp;Scimitar of Snow;;;;5;5;;Effet 309;trey;light;spirit;fox;
Shaman King;DAS045v;chamber;DAS045v.bmp;Mogul Buster;;;;15;5;;Effet 310;trey;light;spirit;fox;
Shaman King;DAS046;chamber;DAS046.bmp;Avalanche;;1;;6;5;;Effet 311;trey;light;spirit;fox;
Shaman King;DAS046v;chamber;DAS046v.bmp;Ice Dagger Attack;;2;;12;0;;Effet 66;trey;light;spirit;fox;
Shaman King;DAS047;chamber;DAS047.bmp;Avalanche;;1;;6;5;;Effet 311;trey;light;spirit;fox;
Shaman King;DAS047v;chamber;DAS047v.bmp;Mogul Buster;;;;15;5;;Effet 310;trey;light;spirit;fox;
Shaman King;DAS048;chamber;DAS048.bmp;Avalanche;;1;;6;5;;Effet 311;trey;light;spirit;fox;
Shaman King;DAS048v;chamber;DAS048v.bmp;Corey Into the Ikupasi;;;;7;6;;Effet 312;trey;light;spirit;fox;
Shaman King;DAS049;chamber;DAS049.bmp;Tome of the Shaman;1;;;5;5;;Effet 313;yoh;light;spirit;bull;
Shaman King;DAS049v;chamber;DAS049v.bmp;Grand Halo Blade;;;2;7;6;;Effet 314;yoh;light;spirit;bull;
Shaman King;DAS050;chamber;DAS050.bmp;Tome of the Shaman;1;;;5;5;;Effet 313;yoh;light;spirit;bull;
Shaman King;DAS050v;chamber;DAS050v.bmp;Grand Halo Blade;;;2;7;6;;Effet 314;yoh;light;spirit;bull;
Shaman King;DAS051;chamber;DAS051.bmp;Tome of the Shaman;1;;;5;5;;Effet 313;yoh;light;spirit;bull;
Shaman King;DAS051v;chamber;DAS051v.bmp;Celestial Slash;1;1;;6;6;;Effet 315;yoh;light;spirit;bull;
Shaman King;DAS052;chamber;DAS052.bmp;Overhead Thwap;;;1;6;6;;Effet 316;yoh;light;spirit;bull;
Shaman King;DAS052v;chamber;DAS052v.bmp;Grand Halo Blade;;;2;7;6;;Effet 314;yoh;light;spirit;bull;
Shaman King;DAS053;chamber;DAS053.bmp;Overhead Thwap;;;1;6;6;;Effet 316;yoh;light;spirit;bull;
Shaman King;DAS053v;chamber;DAS053v.bmp;Celestial Slash;1;1;;6;6;;Effet 315;yoh;light;spirit;bull;
Shaman King;DAS054;chamber;DAS054.bmp;Overhead Thwap;;;1;6;6;;Effet 316;yoh;light;spirit;bull;
Shaman King;DAS054v;chamber;DAS054v.bmp;Double Medium;;;;6;6;;Effet 317;yoh;light;spirit;bull;
Shaman King;DAS055;chamber;DAS055.bmp;Roaring Flames;;1;;5;4;;Effet 318;zeke;dark;spirit;lion;
Shaman King;DAS055v;chamber;DAS055v.bmp;Meltdown;;;1;6;6;;Effet 319;zeke;dark;spirit;lion;
Shaman King;DAS056;chamber;DAS056.bmp;Roaring Flames;;1;;5;4;;Effet 318;zeke;dark;spirit;lion;
Shaman King;DAS056v;chamber;DAS056v.bmp;Meltdown;;;1;6;6;;Effet 319;zeke;dark;spirit;lion;
Shaman King;DAS057;chamber;DAS057.bmp;Roaring Flames;;1;;5;4;;Effet 318;zeke;dark;spirit;lion;
Shaman King;DAS057v;chamber;DAS057v.bmp;Incinerate;1;;2;8;8;;Effet 320;zeke;dark;spirit;lion;
Shaman King;DAS058;chamber;DAS058.bmp;Author's Insight;;1;1;6;6;;Effet 321;zeke;dark;spirit;lion;
Shaman King;DAS058v;chamber;DAS058v.bmp;Meltdown;;;1;6;6;;Effet 319;zeke;dark;spirit;lion;
Shaman King;DAS059;chamber;DAS059.bmp;Author's Insight;;1;1;6;6;;Effet 321;zeke;dark;spirit;lion;
Shaman King;DAS059v;chamber;DAS059v.bmp;Incinerate;1;;2;8;8;;Effet 320;zeke;dark;spirit;lion;
Shaman King;DAS060;chamber;DAS060.bmp;Author's Insight;;1;1;6;6;;Effet 321;zeke;dark;spirit;lion;
Shaman King;DAS060v;chamber;DAS060v.bmp;Elemental Transmutation;;;;10;6;;Effet 322;zeke;dark;spirit;lion;
Shaman King;REI001;teamwork;REI001.bmp;Amidamaru - LEGENDARY SAMURAI;1;;;;;;Effet 1;yoh;;;;
Shaman King;REI002;strike;REI002.bmp;1080 Flash;1;;;3;2;;Effet 2;;;;;
Shaman King;REI003;strike;REI003.bmp;Eon Crush;1;;;2;2;bull;Effet 3;;;;;
Shaman King;REI004;advantage;REI004.bmp;Devoted Sentry;1;;;;;body;Effet 4;;;;;
Shaman King;REI005;advantage;REI005.bmp;Decipher the Runes;1;;;;;mind;Effet 5;;;;;
Shaman King;REI006;advantage;REI006.bmp;Conviction;1;;;;;spirit;Effet 6;;;;;
Shaman King;REI007;advantage;REI007.bmp;Spreading Darkness;1;;;;;body;Effet 7;;;;;
Shaman King;REI008;advantage;REI008.bmp;Reposition;1;;;;;mind;Effet 8;;;;;
Shaman King;REI009;strike;REI009.bmp;Ancient Discipline;1;;;2;6;;Effet 9;;;;;
Shaman King;REI010;advantage;REI010.bmp;Spirit Aim;1;;;;;;Effet 10;;;;;
Shaman King;REI011;advantage;REI011.bmp;Fateful Choice;1;;;;;mind;Effet 11;;;;;
Shaman King;REI012;teamwork;REI012.bmp;Lee Pai-Long - DADDANDO MASTER;1;;;;;;Effet 12;jun;;;;
Shaman King;REI013;teamwork;REI013.bmp;Lililala - KEEPER OF MEMORIES;1;;;;;;Effet 13;;;;;
Shaman King;REI014;teamwork;REI014.bmp;Lyserg - FRESH RECRUIT;1;;;;;shadow;Effet 14;;;;;
Shaman King;REI015;teamwork;REI015.bmp;Marco - COMMANDER;1;;;;;shadow;Effet 15;;;;;
Shaman King;REI016;strike;REI016.bmp;Nergal's Roar;1;;;1;1;;Effet 16;duncan;;;;
Shaman King;REI017;advantage;REI017.bmp;No Quarter;1;;;;;spirit;Effet 17;;;;;
Shaman King;REI018;strike;REI018.bmp;Shikigami;1;;;3;1;;Effet 18;;;;;
Shaman King;REI019;strike;REI019.bmp;Manifestation of Power;1;;;3;1;;Effet 19;;;;;
Shaman King;REI020;strike;REI020.bmp;United Front;2;;;3;6;bull;Effet 20;;;;;
Shaman King;REI021;teamwork;REI021.bmp;Rio - DEAD ENDER;1;;;;;light;Effet 21;;;;;
Shaman King;REI022;advantage;REI022.bmp;Braingrab;1;;;;;mind;Effet 22;;;;;
Shaman King;REI023;teamwork;REI023.bmp;Tao En - DARK DICTATOR;1;;;;;;Effet 23;;;;;
Shaman King;REI024;advantage;REI024.bmp;Ward Off;1;;;;;;Effet 24;;;;;
Shaman King;REI025;teamwork;REI025.bmp;Venster - TACTICIAN;1;;;;;shadow;Effet 25;;;;;
Shaman King;REI026;teamwork;REI026.bmp;Zeke - UTOPIAN ARCHITECT;1;;;;;dark;Effet 26;;;;;
Shaman King;REI027;advantage;REI027.bmp;Hijinks;2;;;;;;Effet 27;lola;;;;
Shaman King;REI028;advantage;REI028.bmp;Hunter's Perch;2;;;;;body;Effet 28;;;;;
Shaman King;REI029;advantage;REI029.bmp;Thief's Honor;2;;;;;body;Effet 29;;;;;
Shaman King;REI030;strike;REI030.bmp;Sucker Punch;2;;;3;5;;Effet 30;;;;;
Shaman King;REI031;advantage;REI031.bmp;Ponder, Reflect, Consider;2;;;;;mind;Effet 31;;;;;
Shaman King;REI032;strike;REI032.bmp;Euthanize;2;;;4;3;lion;Effet 32;;;;;
Shaman King;REI033;strike;REI033.bmp;Pounce;2;;;4;4;bull;Effet 33;;;;;
Shaman King;REI034;advantage;REI034.bmp;Dragon Aura;2;;;;;body;Effet 34;;;;;
Shaman King;REI035;strike;REI035.bmp;Rain of Bones;2;;;4;3;lion;Effet 35;;;;;
Shaman King;REI036;strike;REI036.bmp;Talisman Warrior;2;;;4;5;;Effet 36;;;;;
Shaman King;REI037;strike;REI037.bmp;Ponchi Punch;2;;;4;1;lion;Effet 37;;;;;
Shaman King;REI038;advantage;REI038.bmp;Ten More Sit-ups;2;;;;;;Effet 38;;;;;
Shaman King;REI039;strike;REI039.bmp;Tandem Tomfoolery;2;;;3;3;lion;Effet 39;;;;;
Shaman King;REI040;strike;REI040.bmp;Swooping Talon;3;;;6;3;;Effet 40;;;;;
Shaman King;REI041;strike;REI041.bmp;Strafe;3;;;4;4;fox;Effet 41;;;;;
Shaman King;REI042;advantage;REI042.bmp;Relax;3;;;;;spirit;Effet 42;;;;;
Shaman King;REI043;strike;REI043.bmp;Sideswipe;3;;;4;5;bull;Effet 43;;;;;
Shaman King;REI044;strike;REI044.bmp;Owned!;3;;;6;4;fox;Effet 44;;;;;
Shaman King;REI045;strike;REI045.bmp;Honing Blades;3;;;5;4;bull;Effet 45;;;;;
Shaman King;REI046;strike;REI046.bmp;Blistering Onslaught;4;;;6;6;lion;;;;;;
Shaman King;REI047;strike;REI047.bmp;Icicle Assault;4;;;4;3;;Effet 46;trey;;;;
Shaman King;REI048;strike;REI048.bmp;Thorough Schooling;4;;;8;4;;Effet 36;;;;;
Shaman King;REI049;advantage;REI049.bmp;Cherub's Blessing;;;1;;;spirit;Effet 47;;;;;
Shaman King;REI050;teamwork;REI050.bmp;Kanna - TUBE-TOPPED TERROR;;;1;;;dark;Effet 48;;;;;
Shaman King;REI051;strike;REI051.bmp;Reverberate;;;1;5;5;bull;Effet 49;;;;;
Shaman King;REI052;teamwork;REI052.bmp;Mari - DOLL MISTRESS;;;1;;;dark;Effet 50;;;;;
Shaman King;REI053;advantage;REI053.bmp;Day of Atonement;;;1;;;spirit;Effet 51;;;;;
Shaman King;REI054;strike;REI054.bmp;Volatile Exhumation;;;1;1;6;lion;Effet 9;;;;;
Shaman King;REI055;advantage;REI055.bmp;Imposing Grandeur;1;;1;;;spirit;Effet 52;;;;;
Shaman King;REI056;strike;REI056.bmp;Jaded Sphere;1;;1;9;3;;Effet 53;;;;;
Shaman King;REI057;strike;REI057.bmp;Titanic Summons;1;;1;7;4;lion;Effet 54;;;;;
Shaman King;REI058;strike;REI058.bmp;Showboat;1;;1;5;7;fox;Effet 55;;;;;
Shaman King;REI059;strike;REI059.bmp;Furious Response;1;;1;8;3;bull;Effet 56;;;;;
Shaman King;REI060;strike;REI060.bmp;Shared Purpose;1;;1;6;5;;Effet 57;;;;;
Shaman King;REI061;advantage;REI061.bmp;Captive;1;;1;;;;Effet 58;lyserg;;;;
Shaman King;REI062;strike;REI062.bmp;Tectonic Spikes;2;;1;6;4;;Effet 59;;;;;
Shaman King;REI063;strike;REI063.bmp;Disheartening Blow;1;;1;7;4;lion;Effet 60;;;;;
Shaman King;REI064;strike;REI064.bmp;Purity of Mind;1;;1;6;4;;Effet 61;;;;;
Shaman King;REI065;strike;REI065.bmp;Necrawakening;1;;1;5;5;lion;Effet 62;;;;;
Shaman King;REI066;teamwork;REI066.bmp;Spirit of Fire - IMMORTAL LEGACY;1;;1;;;;Effet 63;zeke;;;;
Shaman King;REI067;advantage;REI067.bmp;Bring It;1;;1;;;body;Effet 64;;;;;
Shaman King;REI068;advantage;REI068.bmp;Wrath of the Prisoner;1;;1;;;body;Effet 65;;;;;
Shaman King;REI069;strike;REI069.bmp;Gush of Flame;2;;1;9;0;fox;Effet 66;;;;;
Shaman King;REI070;strike;REI070.bmp;Burning Hunger;3;;1;5;5;lion;Effet 67;;;;;
Shaman King;REI071;strike;REI071.bmp;Mystic Beam;3;;1;4;7;;;;;;;
Shaman King;REI072;strike;REI072.bmp;Barren Justice;2;1;;5;5;;;;;;;
Shaman King;REI073;strike;REI073.bmp;Viaticum;;;3;8;8;;Effet 68;jeanne;;;;
Shaman King;REI074;strike;REI074.bmp;Ultra Cavalry Charge;;;4;4;10;;Effet 69;len;;;;
Shaman King;REI075;advantage;REI075.bmp;Triumph of Will;;1;1;;;mind;Effet 70;;;;;
Shaman King;REI076;strike;REI076.bmp;Smoldering Confidence;;1;1;10;5;lion;Effet 71;;;;;
Shaman King;REI077;strike;REI077.bmp;Dynamic Slice;;1;1;5;4;fox;Effet 66;;;;;
Shaman King;REI078;advantage;REI078.bmp;Feral Instict;1;1;1;;;;Effet 72;;;;;
Shaman King;REI079;strike;REI079.bmp;Totem Blast;1;1;1;6;6;;;;;;;
Shaman King;REI080;strike;REI080.bmp;Blinding Foray;;2;1;6;6;bull;Effet 73;;;;;
Shaman King;REI081;strike;REI081.bmp;Unerring Garrote;1;2;1;6;7;fox;Effet 74;;;;;
Shaman King;REI082;strike;REI082.bmp;Conchi Kick;;1;;4;3;;Effet 75;;;;;
Shaman King;REI083;strike;REI083.bmp;Flamboyant Arrival;;1;;4;4;;;;;;;
Shaman King;REI084;teamwork;REI084.bmp;Duncan - CRUSADER;;1;;;;shadow;Effet 76;;;;;
Shaman King;REI085;strike;REI085.bmp;Snowdrift;;1;;4;3;fox;Effet 77;;;;;
Shaman King;REI086;teamwork;REI086.bmp;Faust VIII;;1;;;;light;Effet 78;;;;;
Shaman King;REI087;advantage;REI087.bmp;Focal Point;;1;;;;mind;Effet 79;;;;;
Shaman King;REI088;strike;REI088.bmp;Fetish Frenzy;;1;;5;1;;Effet 49;;;;;
Shaman King;REI089;strike;REI089.bmp;Razor's Edge;;1;;3;3;lion;Effet 80;;;;;
Shaman King;REI090;advantage;REI090.bmp;Desolate screams;;1;;;;spirit;Effet 81;;;;;
Shaman King;REI091;teamwork;REI091.bmp;Jeanne - IRON MAIDEN;;1;;;;shadow;Effet 82;;;;;
Shaman King;REI092;teamwork;REI092.bmp;Joco - JOCULAR COMEDIAN;;1;;;;light;Effet 83;;;;;
Shaman King;REI093;teamwork;REI093.bmp;Mikihasa - MASKED MENTOR;;1;;;;;Effet 84;;;;;
Shaman King;REI094;teamwork;REI094.bmp;Milly - LITTLE DARLING;;1;;;;;Effet 85;;;;;
Shaman King;REI095;advantage;REI095.bmp;Oppression;;1;;;;body;Effet 86;;;;;
Shaman King;REI096;strike;REI096.bmp;Seismic Eruption;;1;;3;6;;;;;;;
Shaman King;REI097;strike;REI097.bmp;Bone Army;;1;;4;1;lion;Effet 87;;;;;
Shaman King;REI098;teamwork;REI098.bmp;Silva - IMPARTIAL JUDGE;;1;;;;;Effet 88;;;;;
Shaman King;REI099;teamwork;REI099.bmp;Jun - BIG SISTER;;1;;;;light;Effet 89;;;;;
Shaman King;REI100;teamwork;REI100.bmp;Venster - PUNISHER;;1;;;;shadow;Effet 90;;;;;
Shaman King;REI101;teamwork;REI101.bmp;Yohmei - ASAKURA PATRIARCH;;1;;;;light;Effet 91;;;;;
Shaman King;REI102;strike;REI102.bmp;Misery Loves Company;1;1;;5;3;;Effet 92;;;;;
Shaman King;REI103;teamwork;REI103.bmp;Anna - FUTURE SHAMAN QUEEN;1;1;;;;light;Effet 93;;;;;
Shaman King;REI104;strike;REI104.bmp;Assailing Aegis;3;;;4;4;bull;Effet 94;;;;;
Shaman King;REI105;strike;REI105.bmp;Rush to Judgment;1;1;;5;2;fox;Effet 95;;;;;
Shaman King;REI106;strike;REI106.bmp;Groundswell;1;1;;4;1;fox;Effet 96;;;;;
Shaman King;REI107;strike;REI107.bmp;Incendiary Disposition;1;1;;5;3;fox;Effet 97;;;;;
Shaman King;REI108;teamwork;REI108.bmp;Matti - WITCH IN PIGTAILS;1;1;;;;dark;Effet 98;;;;;
Shaman King;REI109;strike;REI109.bmp;Precognition;1;1;;5;5;;Effet 99;;;;;
Shaman King;REI110;strike;REI110.bmp;Rebuking Blade;1;1;;5;2;bull;Effet 56;;;;;
Shaman King;REI111;strike;REI111.bmp;Concussive Blast;1;1;;5;3;fox;Effet 100;;;;;
Shaman King;REI112;advantage;REI112.bmp;Pleasant Distraction;1;1;;;;mind;Effet 101;;;;;
Shaman King;REI113;strike;REI113.bmp;Triple Threat;1;1;;1;5;bull;Effet 102;;;;;
Shaman King;REI114;strike;REI114.bmp;Ice Storm;1;1;;1;7;;Effet 103;;;;;
Shaman King;REI115;advantage;REI115.bmp;Cleanse;1;1;;;;;Effet 104;;;;;
Shaman King;REI116;advantage;REI116.bmp;Center;1;1;;;;spirit;Effet 105;;;;;
Shaman King;REI117;teamwork;REI117.bmp;Turbine - DESERT WARRIOR;1;1;;;;dark;Effet 106;;;;;
Shaman King;REI118;strike;REI118.bmp;Director's Cut;2;1;;5;5;;Effet 107;;;;;
Shaman King;REI119;strike;REI119.bmp;Dark Ascendance;2;1;;4;3;;Effet 108;;;;;
Shaman King;REI120;strike;REI120.bmp;Ancestral Apparitions;2;1;;6;4;lion;Effet 109;;;;;
Shaman King;REI121;strike;REI121.bmp;Tag Team;2;1;;5;4;bull;Effet 110;;;;;
Shaman King;REI122;strike;REI122.bmp;Comeuppance;2;1;;5;5;bull;Effet 33;;;;;
Shaman King;REI123;strike;REI123.bmp;Outnumber;2;1;;6;3;bull;Effet 111;;;;;
